internal_item_code,official_item_name,category,material,spec,unit,standard_unit_price,tax_rate,active,aliases,notes
M-PLT-SUS304-2T-1000X2000,SUS304 스테인리스 판재 2.0T 1000x2000,raw_material,SUS304,2.0T 1000x2000,EA,25000,0.10,Y,"SUS304 철판 2T|SUS-304 철판|에스유에스 304 판재|SUS304 2T PLATE|스텐판 2T|SUS 304 판 2.0T",판재 계열. 두께/규격이 다르면 별도 코드 확인 필요.
M-PLT-SUS304-3T-1000X2000,SUS304 스테인리스 판재 3.0T 1000x2000,raw_material,SUS304,3.0T 1000x2000,EA,37000,0.10,Y,"SUS304 철판 3T|SUS-304 3T PLATE|스텐판 3T|SUS 304 판 3.0T",2T와 혼동 주의.
M-BAR-AL6061-10MM-3000,AL6061 알루미늄 환봉 10mm 3000mm,raw_material,AL6061,10mm x 3000mm,EA,8000,0.10,Y,"알루미늄 봉 10mm|AL6061 환봉 10파이|알루미늄 원형봉 10mm|AL BAR 10MM",길이 3000mm 기준.
P-BOLT-M8-20-ZN,M8 육각 볼트 20mm 아연도금,fastener,SCM/Zn,M8x20,EA,120,0.10,Y,"M8 육각 볼트|BOLT-M8-20|육각볼트 M8x20|M8 HEX BOLT 20|M8볼트 20mm",스테인리스 볼트와 혼동 주의.
P-WASH-SUS304-M8,SUS304 평와셔 M8,fastener,SUS304,M8,EA,40,0.10,Y,"SUS304 와셔|WASH-SUS-08|M8 와셔 SUS|스텐 와셔 M8|SUS WASHER M8",볼트와 함께 자주 발주됨.
P-BRK-SUS-50X80X3T,SUS304 스테인리스 브라켓 50x80x3T,processed_part,SUS304,50x80x3T,EA,1500,0.10,Y,"스테인리스 브라켓|BRK-SUS-01|SUS 브라켓 50x80|스텐 브라켓 3T",가공품. 도면 리비전 확인 필요.
P-PLT-FIX-120X60X5T,고정 플레이트 120x60x5T,processed_part,SS400,120x60x5T,EA,2800,0.10,Y,"고정 플레이트|PLT-FIX-02|FIX PLATE 120x60|고정판 120 60 5T",수량 누락 시 금액 역산 가능하지만 사람 검토 필요.
P-BRG-H-100,베어링 하우징 100mm,assembly_part,FC250,100mm,EA,12000,0.10,Y,"베어링 하우징|BRG-H-100|Bearing Housing 100|하우징 100mm",납품서에서 자주 등장.
P-PIN-S45C-08X60,S45C 축 고정핀 8x60,processed_part,S45C,8x60,EA,350,0.10,Y,"축 고정핀|PIN-S45C-08|고정핀 8x60|S45C PIN 8x60",단가 낮지만 수량 많음.
E-CON-PCB-12P,PCB 커넥터 12핀,electronic_part,PBT/Cu,12핀,EA,300,0.10,Y,"PCB 커넥터|CON-PCB-12P|12핀 커넥터|PCB Connector 12P",전자부품.
E-CBL-HAR-500,케이블 하네스 500mm,electronic_part,PVC/Cu,500mm,EA,2200,0.10,Y,"케이블 하네스|CBL-HAR-500|하네스 500mm|Cable Harness 500",길이별 품목코드 구분.
M-SPC-AL-05,알루미늄 스페이서 5mm,processed_part,AL6061,5mm,EA,500,0.10,Y,"스페이서|SPC-AL-05|AL 스페이서 5mm|Spacer 5mm",문서에는 간단히 스페이서로 적히는 경우 많음.
P-BRK-FIX-40X60X3T,고정 브라켓 40x60x3T,processed_part,SS400,40x60x3T,EA,1000,0.10,Y,"고정 브라켓|BRK-FIX-01|FIX BRACKET 40x60|브라켓 40 60 3T",금액 불일치 샘플용.
M-PLT-SS400-2T-1000X2000,SS400 철판 2.0T 1000x2000,raw_material,SS400,2.0T 1000x2000,EA,18000,0.10,Y,"SS400 철판 2T|일반 철판 2T|SS400 PLATE 2T",SUS304와 재질 혼동 주의.
M-PLT-SUS316-2T-1000X2000,SUS316 스테인리스 판재 2.0T 1000x2000,raw_material,SUS316,2.0T 1000x2000,EA,42000,0.10,Y,"SUS316 철판 2T|SUS316 PLATE 2T|스텐316 판재",SUS304와 이름 유사. 재질 확인 필요.
