internal_item_code,item_name,spec,unit,category,standard_price,active,aliases,material,tax_rate,notes
M-PLT-SUS304-2T-1000X2000,SUS304 스테인리스 판재 2.0T 1000x2000,2.0T 1000x2000,EA,raw_material,25000,Y,SUS304 철판 2T|SUS-304 철판|에스유에스 304 판재|SUS304 2T PLATE|스텐판 2T|SUS 304 판 2.0T,SUS304,0.1,판재 계열. 두께/규격이 다르면 별도 코드 확인 필요.
M-PLT-SUS304-3T-1000X2000,SUS304 스테인리스 판재 3.0T 1000x2000,3.0T 1000x2000,EA,raw_material,37000,Y,SUS304 철판 3T|SUS-304 3T PLATE|스텐판 3T|SUS 304 판 3.0T,SUS304,0.1,2T와 혼동 주의.
M-BAR-AL6061-10MM-3000,AL6061 알루미늄 환봉 10mm 3000mm,10mm x 3000mm,EA,raw_material,8000,Y,알루미늄 봉 10mm|AL6061 환봉 10파이|알루미늄 원형봉 10mm|AL BAR 10MM,AL6061,0.1,길이 3000mm 기준.
P-BOLT-M8-20-ZN,M8 육각 볼트 20mm 아연도금,M8x20,EA,fastener,120,Y,M8 육각 볼트|BOLT-M8-20|육각볼트 M8x20|M8 HEX BOLT 20|M8볼트 20mm,SCM/Zn,0.1,스테인리스 볼트와 혼동 주의.
P-WASH-SUS304-M8,SUS304 평와셔 M8,M8,EA,fastener,40,Y,SUS304 와셔|WASH-SUS-08|M8 와셔 SUS|스텐 와셔 M8|SUS WASHER M8,SUS304,0.1,볼트와 함께 자주 발주됨.
P-BRK-SUS-50X80X3T,SUS304 스테인리스 브라켓 50x80x3T,50x80x3T,EA,processed_part,1500,Y,스테인리스 브라켓|BRK-SUS-01|SUS 브라켓 50x80|스텐 브라켓 3T,SUS304,0.1,가공품. 도면 리비전 확인 필요.
P-PLT-FIX-120X60X5T,고정 플레이트 120x60x5T,120x60x5T,EA,processed_part,2800,Y,고정 플레이트|PLT-FIX-02|FIX PLATE 120x60|고정판 120 60 5T,SS400,0.1,수량 누락 시 금액 역산 가능하지만 사람 검토 필요.
P-BRG-H-100,베어링 하우징 100mm,100mm,EA,assembly_part,12000,Y,베어링 하우징|BRG-H-100|Bearing Housing 100|하우징 100mm,FC250,0.1,납품서에서 자주 등장.
P-PIN-S45C-08X60,S45C 축 고정핀 8x60,8x60,EA,processed_part,350,Y,축 고정핀|PIN-S45C-08|고정핀 8x60|S45C PIN 8x60,S45C,0.1,단가 낮지만 수량 많음.
E-CON-PCB-12P,PCB 커넥터 12핀,12핀,EA,electronic_part,300,Y,PCB 커넥터|CON-PCB-12P|12핀 커넥터|PCB Connector 12P,PBT/Cu,0.1,전자부품.
E-CBL-HAR-500,케이블 하네스 500mm,500mm,EA,electronic_part,2200,Y,케이블 하네스|CBL-HAR-500|하네스 500mm|Cable Harness 500,PVC/Cu,0.1,길이별 품목코드 구분.
M-SPC-AL-05,알루미늄 스페이서 5mm,5mm,EA,processed_part,500,Y,스페이서|SPC-AL-05|AL 스페이서 5mm|Spacer 5mm,AL6061,0.1,문서에는 간단히 스페이서로 적히는 경우 많음.
P-BRK-FIX-40X60X3T,고정 브라켓 40x60x3T,40x60x3T,EA,processed_part,1000,Y,고정 브라켓|BRK-FIX-01|FIX BRACKET 40x60|브라켓 40 60 3T,SS400,0.1,금액 불일치 샘플용.
M-PLT-SS400-2T-1000X2000,SS400 철판 2.0T 1000x2000,2.0T 1000x2000,EA,raw_material,18000,Y,SS400 철판 2T|일반 철판 2T|SS400 PLATE 2T,SS400,0.1,SUS304와 재질 혼동 주의.
M-PLT-SUS316-2T-1000X2000,SUS316 스테인리스 판재 2.0T 1000x2000,2.0T 1000x2000,EA,raw_material,42000,Y,SUS316 철판 2T|SUS316 PLATE 2T|스텐316 판재,SUS316,0.1,SUS304와 이름 유사. 재질 확인 필요.
