internal_item_code,item_name,spec,unit,aliases
M-PLT-SUS304-2T-1000X2000,SUS304 스테인리스 판재 2.0T 1000x2000,2.0T 1000x2000,EA,SUS304 2T PLATE|스텐판 2T|STS304 2T
M-PLT-SUS316-2T-1000X2000,SUS316 스테인리스 판재 2.0T 1000x2000,2.0T 1000x2000,EA,SUS316 2T PLATE|스텐316 2T
M-PLT-SUS304-3T-1000X2000,SUS304 스테인리스 판재 3.0T 1000x2000,3.0T 1000x2000,EA,SUS304 3T PLATE|스텐판 3T
P-BOLT-M8-20-ZN,M8 육각 볼트 20mm 아연도금,M8x20,EA,M8 BOLT|M8 육각볼트|HEX BOLT M8
P-WASH-SUS304-M8,SUS304 평와셔 M8,M8,EA,SUS WASHER M8|평와셔 M8
P-PIN-S45C-08X60,S45C 축 고정핀 8x60,8x60,EA,S45C PIN 8X60|고정핀 8x60
P-BRG-H-100,베어링 하우징 100mm,100mm,EA,BRG-H-100|베어링하우징|베어링 하우경
P-BRK-FIX-40X60X3T,고정 브라켓 40x60x3T,40x60x3T,EA,고정브라켓|BRACKET 40X60
P-BRK-SUS-50X80X3T,SUS304 스테인리스 브라켓 50x80x3T,50x80x3T,EA,SUS BRACKET 50X80|스텐브라켓
P-PLT-FIX-120X60X5T,고정 플레이트 120x60x5T,120x60x5T,EA,고정 플레이트|FIX PLATE
M-SPC-AL-05,알루미늄 스페이서 5mm,5mm,EA,AL SPACER 5|스페이서 5mm
M-BAR-AL6061-10MM-3000,AL6061 알루미늄 환봉 10mm 3000mm,10mm x 3000mm,EA,알루미늄 환봉 10파이|AL6061 ROUND BAR
E-CBL-HAR-500,케이블 하네스 500mm,500mm,EA,CBL-HAR-500|Cable Harness 500
E-CON-PCB-12P,PCB 커넥터 12핀,12P,EA,CON-PCB-12P|PCB Connector 12P
M-RAIL-HGW20-1000,리니어 가이드 레일 HGW20 1000mm,HGW20 1000mm,EA,HGW20-1000|Guide Rail HGW20|Linear Guide Rail HGW20
M-SHAFT-S45C-12X300,S45C 연마봉 12x300,12x300,EA,S45C SHAFT 12X300|연마봉 12파이
